id,name,gender
1,Аалия,female
2,Аанжелла,female
3,Аба,female
4,Абав,female
5,Абам,female
6,Абаханум,female
7,Абаш,female
8,Аббаза,female
9,Абгюль,female
10,Абдужалия,female
11,Абдулния,female
12,Абдулпетта,female
13,Абдулька,female
14,Абдупатта,female
15,Абдурасуль,female
16,Абдурефи,female
17,Абдурома,female
18,Абдюль,female
19,Абелина,female
20,Абель,female
21,Абибат,female
22,Абигейль,female
23,Абигель,female
24,Абика,female
25,Абилфетта,female
26,Аблялиль,female
27,Абрагина,female
28,Абрамия,female
29,Абраша,female
30,Абрииа,female
31,Абуватфа,female
32,Абузарь,female
33,Абульфаза,female
34,Абуся,female
35,Абута,female
36,Абутаима,female
37,Авагея,female
38,Аванда,female
39,Аванна,female
40,Авашарфа,female
41,Авашерфа,female
42,Аващарфа,female
43,Авгалифена,female
44,Авгела,female
45,Авгения,female
46,Авгиння,female
47,Авгусита,female
48,Августа,female
49,Августина,female
50,Августиния,female
51,Авдия,female
52,Авдокия,female
53,Авдоля,female
54,Авдотия,female
55,Авдотья,female
56,Авдоха,female
57,Авелина,female
58,Авелия,female
59,Авеля,female
60,Авенгилина,female
61,Авенила,female
62,Авения,female
63,Авентина,female
64,Авера,female
65,Авереса,female
66,Аверида,female
67,Аверия,female
68,Авета,female
69,Аветлана,female
70,Аветра,female
71,Авза,female
72,Авзаль,female
73,Авиа,female
74,Авиада,female
75,Авиана,female
76,Авиата,female
77,Авиатта,female
78,Авигея,female
79,Авиета,female
80,Авизия,female
81,Авила,female
82,Авилина,female
83,Авина,female
84,Авиона,female
85,Авиреза,female
86,Авиталь,female
87,Авиша,female
88,Авиэта,female
89,Авия,female
90,Авксения,female
91,Авксентия,female
92,Авлат,female
93,Авлевтина,female
94,Авлентина,female
95,Авлина,female
96,Авлора,female
97,Авмрозия,female
98,Авнда,female
99,Авнендра,female
100,Авнизия,female
101,Аворика,female
102,Авралия,female
103,Аврамия,female
104,Аврела,female
105,Аврелия,female
106,Аврелка,female
107,Аврелька,female
108,Авреля,female
109,Авремия,female
110,Аврийка,female
111,Аврика,female
112,Аврилия,female
113,Аврилияна,female
114,Авриль,female
115,Авриля,female
116,Авриния,female
117,Авроза,female
118,Аврония,female
119,Авроня,female
120,Аврора,female
121,Авросия,female
122,Аврура,female
123,Аврустина,female
124,Авруся,female
125,Авруца,female
126,Аврыда,female
127,Автандия,female
128,Автелина,female
129,Автолина,female
130,Автомаска,female
131,Автондия,female
132,Автонина,female
133,Авула,female
134,Агаатэ,female
135,Агавала,female
136,Агавара,female
137,Агавия,female
138,Агавня,female
139,Агагюль,female
140,Агада,female
141,Агаджума,female
142,Агадия,female
143,Агадпея,female
144,Агалина,female
145,Агалирза,female
146,Агамерза,female
147,Агамирза,female
148,Аганда,female
149,Аганета,female
150,Аганиса,female
151,Агания,female
152,Аганя,female
153,Агаория,female
154,Агапея,female
155,Агапи,female
156,Агапия,female
157,Агапка,female
158,Агапья,female
159,Агариза,female
160,Агария,female
161,Агарпена,female
162,Агарпина,female
163,Агарпына,female
164,Агарпья,female
165,Агарья,female
166,Агасия,female
167,Агастрия,female
168,Агася,female
169,Агат,female
170,Агата,female
171,Агатина,female
172,Агатия,female
173,Агатья,female
174,Агатя,female
175,Агафа,female
176,Агафена,female
177,Агафения,female
178,Агафея,female
179,Агафиа,female
180,Агафинья,female
181,Агафия,female
182,Агафония,female
183,Агафоня,female
184,Агафрина,female
185,Агафья,female
186,Агафя,female
187,Агаша,female
188,Агаэса,female
189,Агба,female
190,Аггея,female
191,Агголина,female
192,Аггюль,female
193,Агдия,female
194,Агейла,female
195,Агентина,female
196,Агерпина,female
197,Агжана,female
198,Агжанать,female
199,Агида,female
200,Агиета,female
201,Агилна,female
202,Агиль,female
203,Агиля,female
204,Агина,female
205,Агинтья,female
206,Агиста,female
207,Агита,female
208,Агитина,female
209,Агица,female
210,Агия,female
211,Аглаида,female
212,Агланя,female
213,Аглария,female
214,Аглафира,female
215,Аглая,female
216,Аглера,female
217,Аглефия,female
218,Аглея,female
219,Агликерия,female
220,Аглина,female
221,Аглиулла,female
222,Аглия,female
223,Аглукерия,female
224,Агля,female
225,Агмесса,female
226,Агнастасия,female
227,Агне,female
228,Агневна,female
229,Агнежка,female
230,Агнезия,female
231,Агнейта,female
232,Агнела,female
233,Агнелия,female
234,Агнес,female
235,Агнеса,female
236,Агнесия,female
237,Агнеска,female
238,Агнесс,female
239,Агнесса,female
240,Агнессия,female
241,Агнеста,female
242,Агнет,female
243,Агнета,female
244,Агнетта,female
245,Агнеш,female
246,Агнеша,female
247,Агнешка,female
248,Агнея,female
249,Агнийка,female
250,Агнилина,female
251,Агнисия,female
252,Агнита,female
253,Агнишка,female
254,Агния,female
255,Агният,female
256,Агнория,female
257,Агнышка,female
258,Аголина,female
259,Аголлинария,female
260,Агомогла,female
261,Агонета,female
262,Агонина,female
263,Агорпина,female
264,Агорпиния,female
265,Агота,female
266,Аготта,female
267,Агофия,female
268,Агофья,female
269,Аградина,female
270,Аграпина,female
271,Аграппина,female
272,Агратина,female
273,Аграфена,female
274,Аграфения,female
275,Аграфина,female
276,Аграфиния,female
277,Аграфинья,female
278,Аграфия,female
279,Аграфья,female
280,Агрегина,female
281,Агренина,female
282,Агрепена,female
283,Агрепина,female
284,Агрепиния,female
285,Агреппина,female
286,Агрерина,female
287,Агретина,female
288,Агрефена,female
289,Агрефина,female
290,Агрефинья,female
291,Агрикерия,female
292,Агриколь,female
293,Агрилина,female
294,Агринина,female
295,Агринтина,female
296,Агрипена,female
297,Агрипигина,female
298,Агрипина,female
299,Агрипиния,female
300,Агрипинна,female
301,Агриппина,female
302,Агриса,female
303,Агрифена,female
304,Агрифина,female
305,Агролина,female
306,Агропина,female
307,Агропиния,female
308,Агроппина,female
309,Агрофена,female
310,Агрофения,female
311,Агрофина,female
312,Агрофиния,female
313,Агрулина,female
314,Агруния,female
315,Агтета,female
316,Агунда,female
317,Агуя,female
318,Агустина,female
319,Агфия,female
320,Агха,female
321,Агэля,female
322,Агэта,female
323,Ада,female
324,Адаа,female
325,Адавие,female
326,Адавият,female
327,Адавье,female
328,Адаида,female
329,Адаиль,female
330,Адай,female
331,Адалаида,female
332,Адалиада,female
333,Адалина,female
334,Адалия,female
335,Адаль,female
336,Адальберта,female
337,Адальмина,female
338,Адальфина,female
339,Адаля,female
340,Адалят,female
341,Адама,female
342,Адамина,female
343,Адана,female
344,Адане,female
345,Адария,female
346,Адарья,female
347,Адасия,female
348,Адась,female
349,Адаська,female
350,Адася,female
351,Адафия,female
352,Адая,female
353,Адвентина,female
354,Адверка,female
355,Адвина,female
356,Адда,female
357,Адделина,female
358,Адеалаида,female
359,Адеалида,female
360,Адеалина,female
361,Адебенга,female
362,Адегбанга,female
363,Адеелия,female
364,Адеида,female
365,Адеина,female
366,Адей,female
367,Адейла,female
368,Адейля,female
369,Адека,female
370,Адела,female
371,Аделада,female
372,Аделае,female
373,Аделаида,female
374,Аделаижа,female
375,Аделаина,female
376,Аделайда,female
377,Аделанда,female
378,Аделаыда,female
379,Аделеида,female
380,Аделея,female
381,Адели,female
382,Аделиада,female
383,Аделида,female
384,Аделина,female
385,Аделиня,female
386,Аделия,female
387,Аделка,female
388,Аделла,female
389,Аделлаида,female
390,Аделли,female
391,Аделлинда,female
392,Аделоида,female
393,Адель,female
394,Адельвина,female
395,Адельгайда,female
396,Адельгейда,female
397,Адельда,female
398,Адельина,female
399,Аделька,female
400,Адельмина,female
401,Адельфина,female
402,Адельфия,female
403,Адельша,female
404,Адельши,female
405,Аделья,female
406,Аделя,female
407,Аделяна,female
408,Адемина,female
409,Адемия,female
410,Адена,female
411,Аденаида,female
412,Аденда,female
413,Аденола,female
414,Адепя,female
415,Адерике,female
416,Адеринсола,female
417,Адериту,female
418,Адерми,female
419,Адерша,female
420,Адесина,female
421,Адеслава,female
422,Адетта,female
423,Адефтина,female
424,Адешина,female
425,Адея,female
426,Аджана,female
427,Аджелина,female
428,Аджика,female
429,Аджир,female
430,Аджира,female
431,Адзип,female
432,Адиала,female
433,Адиаланда,female
434,Адиалида,female
435,Адиамида,female
436,Адиба,female
437,Адибя,female
438,Адика,female
439,Адила,female
440,Адилага,female
441,Адилаида,female
442,Адиларида,female
443,Адилина,female
444,Адилия,female
445,Адилуца,female
446,Адиль,female
447,Адилья,female
448,Адилэ,female
449,Адиля,female
450,Адина,female
451,Адинаиза,female
452,Адинай,female
453,Адине,female
454,Адинела,female
455,Адиня,female
456,Адиса,female
457,Адислава,female
458,Адисса,female
459,Адитие,female
460,Адитья,female
461,Адитя,female
462,Адиха,female
463,Адия,female
464,Адиятулла,female
465,Адлена,female
466,Адлидия,female
467,Адлифа,female
468,Адлифе,female
469,Адлифя,female
470,Адлиша,female
471,Адмила,female
472,Адмия,female
473,Адна,female
474,Аднеся,female
475,Аднишка,female
476,Адоина,female
477,Адолаида,female
478,Адоланда,female
479,Адолина,female
480,Адолинна,female
481,Адолия,female
482,Адоль,female
483,Адольджина,female
484,Адолька,female
485,Адольфа,female
486,Адольфена,female
487,Адольфина,female
488,Адолья,female
489,Адоля,female
490,Адонисия,female
491,Адонисса,female
492,Адонна,female
493,Адоньфина,female
494,Адоня,female
495,Адоритта,female
496,Адотя,female
497,Адрафия,female
498,Адрерия,female
499,Адриада,female
500,Адриана,female
501,Адрианна,female
502,Адрина,female
503,Адрине,female
504,Адринэ,female
505,Адриэнна,female
506,Адрияна,female
507,Адриянна,female
508,Адула,female
509,Адыка,female
510,Адылля,female
511,Адыль,female
512,Адыльгейда,female
513,Адыля,female
514,Адына,female
515,Адьдина,female
516,Адья,female
517,Адьяа,female
518,Адэла,female
519,Адэлина,female
520,Адэлия,female
521,Адэлла,female
522,Адэль,female
523,Адэльфина,female
524,Адэля,female
525,Адэнна,female
526,Адя,female
527,Аежела,female
528,Аежелика,female
529,Аезире,female
530,Аелита,female
531,Аель,female
532,Аеонила,female
533,Аеонтина,female
534,Аера,female
535,Аерие,female
536,Аесе,female
537,Аета,female
538,Ажа,female
539,Ажабат,female
540,Ажабика,female
541,Ажабике,female
542,Ажайбике,female
543,Ажай,female
544,Ажалия,female
545,Ажам,female
546,Ажамиля,female
547,Ажанна,female
548,Ажаркуль,female
549,Ажбета,female
550,Ажела,female
551,Ажелика,female
552,Ажелина,female
553,Ажим,female
554,Ажий,female
555,Ажина,female
556,Ажире,female
557,Ажиря,female
558,Ажулия,female
559,Аза,female
560,Азада,female
561,Азазель,female
562,Азаида,female
563,Азалея,female
564,Азалина,female
565,Азалия,female
566,Азанетта,female
567,Азантина,female
568,Азарета,female
569,Азарина,female
570,Азарита,female
571,Азария,female
572,Азаря,female
573,Азбина,female
574,Азвета,female
575,Азгануш,female
576,Азгара,female
577,Азейбертина,female
578,Азелия,female
579,Азелла,female
580,Азель,female
581,Азельма,female
582,Азета,female
583,Азетта,female
584,Азза,female
585,Азида,female
586,Азидра,female
587,Азие,female
588,Азиза,female
589,Азизат,female
590,Азизага,female
591,Азипат,female
592,Азизгюль,female
593,Азизе,female
594,Азизилла,female
595,Азизолла,female
596,Азизула,female
597,Азизюля,female
598,Азизя,female
599,Азика,female
600,Азилия,female
601,Азиля,female
602,Азима,female
603,Азимат,female
604,Азиме,female
605,Азина,female
606,Азинат,female
607,Азира,female
608,Азиса,female
609,Азита,female
610,Азифе,female
611,Азия,female
612,Азмела,female
613,Азмина,female
614,Азминат,female
615,Азода,female
616,Азолия,female
617,Азольда,female
618,Азора,female
619,Азорина,female
620,Азория,female
621,Азука,female
622,Азулла,female
623,Азя,female
624,Аиана,female
625,Аига,female
626,Аигуль,female
627,Аида,female
628,Аиеса,female
629,Аиза,female
630,Аила,female
631,Аилада,female
632,Аилина,female
633,Аилита,female
634,Аилия,female
635,Аиляра,female
636,Аина,female
637,Аине,female
638,Аиниша,female
639,Аинна,female
640,Аионида,female
641,Аира,female
642,Аироника,female
643,Аиса,female
644,Аисия,female
645,Аисма,female
646,Аися,female
647,Аита,female
648,Аите,female
649,Аитонина,female
650,Аифала,female
651,Аиша,female
652,Аише,female
653,Айбала,female
654,Айбаджи,female
655,Айбарша,female
656,Айбика,female
657,Айбике,female
658,Айболек,female
659,Айва,female
660,Айвагюль,female
661,Айваре,female
662,Айвика,female
663,Айвита,female
664,Айвия,female
665,Айга,female
666,Айганат,female
667,Айганым,female
668,Айгерим,female
669,Айгие,female
670,Айгузель,female
671,Айгуль,female
672,Айгуля,female
673,Айгюль,female
674,Айгюн,female
675,Айгюнь,female
676,Айда,female
677,Айдай,female
678,Айдана,female
679,Айдима,female
680,Айдина,female
681,Айдинша,female
682,Айдюль,female
683,Айеда,female
684,Айжан,female
685,Айжанна,female
686,Айза,female
687,Айзада,female
688,Айзана,female
689,Айзат,female
690,Айзанат,female
691,Айима,female
692,Айимеседо,female
693,Аййимик,female
694,Айка,female
695,Айко,female
696,Айкюнь,female
697,Айла,female
698,Айлара,female
699,Айле,female
700,Айлиана,female
701,Айлин,female
702,Айлинь,female
703,Айлиса,female
704,Айлита,female
705,Айма,female
706,Аймара,female
707,Аймесей,female
708,Аймеси,female
709,Аймилев,female
710,Аймира,female
711,Айна,female
712,Айнабат,female
713,Айнагуль,female
714,Айнагюль,female
715,Айназ,female
716,Айнара,female
717,Айнаш,female
718,Айне,female
719,Айнель,female
720,Айниджана,female
721,Айниса,female
722,Айнисе,female
723,Айнора,female
724,Айнула,female
725,Айнулла,female
726,Айнур,female
727,Айнура,female
728,Айнурэ,female
729,Айпара,female
730,Айра,female
731,Айрин,female
732,Айрина,female
733,Айрита,female
734,Айрия,female
735,Айса,female
736,Айсана,female
737,Айсара,female
738,Айсат,female
739,Айседора,female
740,Айсель,female
741,Айсенем,female
742,Айсла,female
743,Айслу,female
744,Айсолтан,female
745,Айстра,female
746,Айсула,female
747,Айсулу,female
748,Айся,female
749,Айсяу,female
750,Айта,female
751,Айтбика,female
752,Айтень,female
753,Айтига,female
754,Айтулу,female
755,Айфара,female
756,Айханум,female
