1,I love you,английский
2,Mən səni sevirəm,азербайджанский
3,Ju dua,албанский
4,በቀዳሚ ግምገማዎች,амхарский
5,أحبك,арабский
6,Ես քեզ սիրում եմ,армянский
7,Ek is lief vir jou,африкаанс
8,Maite zaitut,бакский
9,Мин һине яратам,башкирский
10,Я цябе кахаю,белорусский
11,আমি তোমাকে ভালবাসি,бенгальский
12,မင်းကိုချစ်တယ်,бирманский
13,Обичам те,болгарский
14,Volim te,боснийский
15,Rwyf wrth fy modd i chi,валлийский
16,Szeretlek,венгерский
17,Tôi yêu bạn,вьетнамский
18,Hōʻike aku,гавайский
19,Mwen renmen ou,гаитянский
20,Te amo,галисийский
21,Ik hou van je,голландский
22,Мӹнь тӹньӹм яратенӓм,горномарийский
23,Σ ' αγαπώ,греческий
24,მე შენ მიყვარხარ,грузинский
25,હું તમને પ્રેમ,гуджарати
26,Jeg elsker dig,датский
27,Ngiyakuthanda,зулу
28,אני אוהב אותך,иврит
29,Ahụrụ m gị n'anya,игбо
30,איך ליבע איר,идиш
31,Aku mencintaimu,индонезийский
32,Is breá liom tú,ирландский
33,Ég elska þig,исландский
34,Te amo,испанский
35,Ti amo,итальянский
36,Mo nifẹ rẹ,йоруба
37,Мен сені сүйемін,казахский
38,ನಾನು ನಿನ್ನ ಪ್ರೀತಿಸುತ್ತೇನೆ,каннада
39,M'encanta que,каталанский
40,Мен сени сүйөм,киргизский
41,我愛你,китайский традиционный
42,我爱你,китайский упрощенный
43,내가 당신을 사랑,корейский
44,I love you,корсиканский
45,Mna uthando kuwe,коса
46,Ez ji te hez dikim,курманджи
47,ខ្ញុំស្រឡាញ់អ្នក,кхмерский
48,Ndiyakuthanda,кхоса
49,ຂ້ອຍຮັກເຈົ້າ,лаосский
50,Amo te,латынь
51,Es tevi mīlu,латышский
52,Aš tave myliu,литовский
53,Ech léift dech,люксембургский
54,Те сакам,македонский
55,Tiako ianao,малагасийский
56,Saya suka anda,малайский
57,ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു,малаялам
58,Inħobbok,мальтийский
59,Aroha ahau ki a koe,маори
60,मी तुझ्यावर प्रेम करतो,маратхи
61,Мый тыйым йӧратем,марийский
62,Би чамд хайртай,монгольский
63,Ich liebe dich,немецкий
64,म तपाईं प्रेम,непальский
65,Jeg elsker deg,норвежский
66,ਮੈਨੂੰ ਤੁਹਾਡੇ ਨਾਲ ਪਿਆਰ,панджаби
67,Mi stima,пальяменто
68,من شما را دوست دارم,персидский
69,Kocham cię,польский
70,Eu te amo,португальский
71,زه تاسو سره مینه لرم,пушту
72,Te iubesc,румынский
73,Ou te alofa ia te oe,самоанский
74,Ја те волим,сербский
75,Gihigugma ko ikaw,себуанский
76,Kea u rata,сесото
77,مون کي توسان پيار آهي,синдхи
78,මම ඔයාට ආදරෙයි,сингальский
79,Milujem ťa,словацкий
80,Ljubim te,словенский
81,Waan ku jeclahay,сомалийский
82,Mimi upendo wewe,суахили
83,Abdi bogoh ka anjeun,сунданский
84,Pag-ibig ko sa iyo,тагальский
85,Ман туро дӯст медорам,таджикский
86,ฉันรักคุณ,тайский
87,நான் உன்னை காதலிக்கிறேன்,тамильский
88,Мин сине яратам,татарский
89,నేను నిన్ను ప్రేమిస్తున్నాను,телугу
90,Seni seviyorum,турецкий
91,Яратӥ мон тонэ,удмуртский
92,Men seni Sevaman,узбекский
93,Я тебе люблю,украинский
94,میں تم سے پیار کرتا ہوں,урду
95,Mahal kita,филлипинский
96,Rakastan sinua,финский
97,Je t'aime,французский
98,Ina son ku,хауса
99,आई लव यू,хинди
100,Kuv hlub koj,хмонг
101,Volim te,хорватский
102,Ndimakukondani,чева
103,Miluji tě,чешский
104,Jag älskar dig,шведский
105,Tha mi gad ghràdh,шотландский (гэльский)
106,Ndinokuda,шона
107,Mi amas vin,эсперанто
108,Ma armastan sind,эстонский
109,Aku tresna sampeyan,яванский
110,私はあなたを愛しています,японский
